sym_psd  identity renorm=True  mask=None   beta= 0.5 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.00 | F -532.54->-543.71 norm=1.00
sym_psd  identity renorm=True  mask=None   beta= 1.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.00 | F -266.41->-277.67 norm=1.00
sym_psd  identity renorm=True  mask=None   beta= 2.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.00 | F -133.41->-144.85 norm=1.00
sym_psd  identity renorm=True  mask=None   beta= 4.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.00 | F -67.03->-78.90 norm=1.00
sym_psd  identity renorm=True  mask=None   beta= 8.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.00 | F -34.13->-47.14 norm=1.00
sym_psd  identity renorm=True  mask=causal beta= 0.5 | F nonincr steps=0.714 seeds mono=0.42 | H seeds mono=0.00 | F -411.25->-422.98 norm=1.00
sym_psd  identity renorm=True  mask=causal beta= 1.0 | F nonincr steps=0.702 seeds mono=0.42 | H seeds mono=0.00 | F -206.14->-217.81 norm=1.00
sym_psd  identity renorm=True  mask=causal beta= 2.0 | F nonincr steps=0.696 seeds mono=0.42 | H seeds mono=0.00 | F -103.67->-115.22 norm=1.00
sym_psd  identity renorm=True  mask=causal beta= 4.0 | F nonincr steps=0.694 seeds mono=0.33 | H seeds mono=0.00 | F -52.61->-63.93 norm=1.00
sym_psd  identity renorm=True  mask=causal beta= 8.0 | F nonincr steps=0.680 seeds mono=0.25 | H seeds mono=0.00 | F -27.48->-38.28 norm=1.00
sym_psd  identity renorm=False mask=None   beta= 0.5 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=1.00 | F -532.54->-1236174796509090867576832.00 norm=324429012032.12
sym_psd  identity renorm=False mask=None   beta= 1.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=1.00 | F -266.41->-1340670431471775323783168.00 norm=330934768536.98
sym_psd  identity renorm=False mask=None   beta= 2.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=1.00 | F -133.41->-1611031050819114205446144.00 norm=346428699298.09
sym_psd  identity renorm=False mask=None   beta= 4.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.92 | F -67.03->-3098023114088224422625280.00 norm=422458951413.67
