beta*J=30.0, Delta_fit=0.2199
per-mode overlap of top eigenvector pairs (rows: eig; cols: n):
   eig     | n=1 | n=2 | n=3 | n=4 | n=5 | n=6
  +0.7632 | 0.00 | 0.59 | 0.00 | 0.00 | 0.00 | 0.00
  +0.7632 | 0.00 | 0.59 | 0.00 | 0.00 | 0.00 | 0.00
  +0.6732 | 0.00 | 0.00 | 0.64 | 0.00 | 0.00 | 0.00
  +0.6732 | 0.00 | 0.00 | 0.64 | 0.00 | 0.00 | 0.00
  +0.5980 | 0.00 | 0.00 | 0.00 | 0.66 | 0.00 | 0.00
  +0.5980 | 0.00 | 0.00 | 0.00 | 0.66 | 0.00 | 0.00
  +0.5351 | 0.00 | 0.00 | 0.00 | 0.00 | 0.67 | 0.00
  +0.5351 | 0.00 | 0.00 | 0.00 | 0.00 | 0.67 | 0.00
  +0.4821 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.67
  +0.4821 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.67
saved /Users/ariel/attention-geometry/research/physics/theory/logs/g1_top_modes_bJ30.npz
